id,page,chapter,verseNumber,verseText,chapterName
60,8,2,53,وإذ آتينا موسى الكتاب والفرقان لعلكم تهتدون,البقرة
61,8,2,54,وإذ قال موسى لقومه ياقوم إنكم ظلمتم أنفسكم باتخاذكم العجل فتوبوا إلى بارئكم فاقتلوا أنفسكم ذلكم خير لكم عند بارئكم فتاب عليكم إنه هو التواب الرحيم,البقرة
62,8,2,55,وإذ قلتم ياموسى لن نؤمن لك حتى نرى الله جهرة فأخذتكم الصاعقة وأنتم تنظرون,البقرة
63,8,2,56,ثم بعثناكم من بعد موتكم لعلكم تشكرون,البقرة
64,8,2,57,وظللنا عليكم الغمام وأنزلنا عليكم المن والسلوى كلوا من طيبات ما رزقناكم وما ظلمونا ولكن كانوا أنفسهم يظلمون,البقرة
65,9,2,58,وإذ قلنا ادخلوا هذه القرية فكلوا منها حيث شئتم رغدا وادخلوا الباب سجدا وقولوا حطة نغفر لكم خطاياكم وسنزيد المحسنين,البقرة
66,9,2,59,فبدل الذين ظلموا قولا غير الذي قيل لهم فأنزلنا على الذين ظلموا رجزا من السماء بما كانوا يفسقون,البقرة
67,9,2,60,وإذ استسقى موسى لقومه فقلنا اضرب بعصاك الحجر فانفجرت منه اثنتا عشرة عينا قد علم كل أناس مشربهم كلوا واشربوا من رزق الله ولا تعثوا في الأرض مفسدين,البقرة
68,9,2,61,وإذ قلتم ياموسى لن نصبر على طعام واحد فادع لنا ربك يخرج لنا مما تنبت الأرض من بقلها وقثائها وفومها وعدسها وبصلها قال أتستبدلون الذي هو أدنى بالذي هو خير اهبطوا مصرا فإن لكم ما سألتم وضربت عليهم الذلة والمسكنة وباءوا بغضب من الله ذلك بأنهم كانوا يكفرون بآيات الله ويقتلون النبيين بغير الحق ذلك بما عصوا وكانوا يعتدون,البقرة
69,10,2,62,إن الذين آمنوا والذين هادوا والنصارى والصابئين من آمن بالله واليوم الآخر وعمل صالحا فلهم أجرهم عند ربهم ولا خوف عليهم ولا هم يحزنون,البقرة
70,10,2,63,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واذكروا ما فيه لعلكم تتقون,البقرة
71,10,2,64,ثم توليتم من بعد ذلك فلولا فضل الله عليكم ورحمته لكنتم من الخاسرين,البقرة
72,10,2,65,ولقد علمتم الذين اعتدوا منكم في السبت فقلنا لهم كونوا قردة خاسئين,البقرة
73,10,2,66,فجعلناها نكالا لما بين يديها وما خلفها وموعظة للمتقين,البقرة
74,10,2,67,وإذ قال موسى لقومه إن الله يأمركم أن تذبحوا بقرة قالوا أتتخذنا هزوا قال أعوذ بالله أن أكون من الجاهلين,البقرة
75,10,2,68,قالوا ادع لنا ربك يبين لنا ما هي قال إنه يقول إنها بقرة لا فارض ولا بكر عوان بين ذلك فافعلوا ما تؤمرون,البقرة
76,10,2,69,قالوا ادع لنا ربك يبين لنا ما لونها قال إنه يقول إنها بقرة صفراء فاقع لونها تسر الناظرين,البقرة
77,11,2,70,قالوا ادع لنا ربك يبين لنا ما هي إن البقر تشابه علينا وإنا إن شاء الله لمهتدون,البقرة
78,11,2,71,قال إنه يقول إنها بقرة لا ذلول تثير الأرض ولا تسقي الحرث مسلمة لا شية فيها قالوا الآن جئت بالحق فذبحوها وما كادوا يفعلون,البقرة
79,11,2,72,وإذ قتلتم نفسا فادارأتم فيها والله مخرج ما كنتم تكتمون,البقرة
80,11,2,73,فقلنا اضربوه ببعضها كذلك يحي الله الموتى ويريكم آياته لعلكم تعقلون,البقرة
81,11,2,74,ثم قست قلوبكم من بعد ذلك فهي كالحجارة أو أشد قسوة وإن من الحجارة لما يتفجر منه الأنهار وإن منها لما يشقق فيخرج منه الماء وإن منها لما يهبط من خشية الله وما الله بغافل عما تعملون,البقرة
82,11,2,75,أفتطمعون أن يؤمنوا لكم وقد كان فريق منهم يسمعون كلام الله ثم يحرفونه من بعد ما عقلوه وهم يعلمون,البقرة
83,11,2,76,وإذا لقوا الذين آمنوا قالوا آمنا وإذا خلا بعضهم إلى بعض قالوا أتحدثونهم بما فتح الله عليكم ليحاجوكم به عند ربكم أفلا تعقلون,البقرة
84,12,2,77,أو لا يعلمون أن الله يعلم ما يسرون وما يعلنون,البقرة
85,12,2,78,ومنهم أميون لا يعلمون الكتاب إلا أماني وإن هم إلا يظنون,البقرة
86,12,2,79,فويل للذين يكتبون الكتاب بأيديهم ثم يقولون هذا من عند الله ليشتروا به ثمنا قليلا فويل لهم مما كتبت أيديهم وويل لهم مما يكسبون,البقرة
87,12,2,80,وقالوا لن تمسنا النار إلا أياما معدودة قل أتخذتم عند الله عهدا فلن يخلف الله عهده أم تقولون على الله ما لا تعلمون,البقرة
88,12,2,81,بلى من كسب سيئة وأحاطت به خطيئته فأولئك أصحاب النار هم فيها خالدون,البقرة
89,12,2,82,والذين آمنوا وعملوا الصالحات أولئك أصحاب الجنة هم فيها خالدون,البقرة
90,12,2,83,وإذ أخذنا ميثاق بني إسرائيل لا تعبدون إلا الله وبالوالدين إحسانا وذي القربى واليتامى والمساكين وقولوا للناس حسنا وأقيموا الصلاة وآتوا الزكاة ثم توليتم إلا قليلا منكم وأنتم معرضون,البقرة
91,13,2,84,وإذ أخذنا ميثاقكم لا تسفكون دماءكم ولا تخرجون أنفسكم من دياركم ثم أقررتم وأنتم تشهدون,البقرة
92,13,2,85,ثم أنتم هؤلاء تقتلون أنفسكم وتخرجون فريقا منكم من ديارهم تظاهرون عليهم بالإثم والعدوان وإن يأتوكم أسارى تفادوهم وهو محرم عليكم إخراجهم أفتؤمنون ببعض الكتاب وتكفرون ببعض فما جزاء من يفعل ذلك منكم إلا خزي في الحياة الدنيا ويوم القيامة يردون إلى أشد العذاب وما الله بغافل عما تعملون,البقرة
93,13,2,86,أولئك الذين اشتروا الحياة الدنيا بالآخرة فلا يخفف عنهم العذاب ولا هم ينصرون,البقرة
94,13,2,87,ولقد آتينا موسى الكتاب وقفينا من بعده بالرسل وآتينا عيسى ابن مريم البينات وأيدناه بروح القدس أفكلما جاءكم رسول بما لا تهوى أنفسكم استكبرتم ففريقا كذبتم وفريقا تقتلون,البقرة
95,13,2,88,وقالوا قلوبنا غلف بل لعنهم الله بكفرهم فقليلا ما يؤمنون,البقرة
96,14,2,89,ولما جاءهم كتاب من عند الله مصدق لما معهم وكانوا من قبل يستفتحون على الذين كفروا فلما جاءهم ما عرفوا كفروا به فلعنة الله على الكافرين,البقرة
97,14,2,90,بئسما اشتروا به أنفسهم أن يكفروا بما أنزل الله بغيا أن ينزل الله من فضله على من يشاء من عباده فباءوا بغضب على غضب وللكافرين عذاب مهين,البقرة
98,14,2,91,وإذا قيل لهم آمنوا بما أنزل الله قالوا نؤمن بما أنزل علينا ويكفرون بما وراءه وهو الحق مصدقا لما معهم قل فلم تقتلون أنبياء الله من قبل إن كنتم مؤمنين,البقرة
99,14,2,92,ولقد جاءكم موسى بالبينات ثم اتخذتم العجل من بعده وأنتم ظالمون,البقرة
100,14,2,93,وإذ أخذنا ميثاقكم ورفعنا فوقكم الطور خذوا ما آتيناكم بقوة واسمعوا قالوا سمعنا وعصينا وأشربوا في قلوبهم العجل بكفرهم قل بئسما يأمركم به إيمانكم إن كنتم مؤمنين,البقرة
101,15,2,94,قل إن كانت لكم الدار الآخرة عند الله خالصة من دون الناس فتمنوا الموت إن كنتم صادقين,البقرة
102,15,2,95,ولن يتمنوه أبدا بما قدمت أيديهم والله عليم بالظالمين,البقرة
103,15,2,96,ولتجدنهم أحرص الناس على حياة ومن الذين أشركوا يود أحدهم لو يعمر ألف سنة وما هو بمزحزحه من العذاب أن يعمر والله بصير بما يعملون,البقرة
104,15,2,97,قل من كان عدوا لجبريل فإنه نزله على قلبك بإذن الله مصدقا لما بين يديه وهدى وبشرى للمؤمنين,البقرة
105,15,2,98,من كان عدوا لله وملائكته ورسله وجبريل وميكال فإن الله عدو للكافرين,البقرة
106,15,2,99,ولقد أنزلنا إليك آيات بينات وما يكفر بها إلا الفاسقون,البقرة
107,15,2,100,أو كلما عاهدوا عهدا نبذه فريق منهم بل أكثرهم لا يؤمنون,البقرة
108,15,2,101,ولما جاءهم رسول من عند الله مصدق لما معهم نبذ فريق من الذين أوتوا الكتاب كتاب الله وراء ظهورهم كأنهم لا يعلمون,البقرة
109,16,2,102,واتبعوا ما تتلوا الشياطين على ملك سليمان وما كفر سليمان ولكن الشياطين كفروا يعلمون الناس السحر وما أنزل على الملكين ببابل هاروت وماروت وما يعلمان من أحد حتى يقولا إنما نحن فتنة فلا تكفر فيتعلمون منهما ما يفرقون به بين المرء وزوجه وما هم بضارين به من أحد إلا بإذن الله ويتعلمون ما يضرهم ولا ينفعهم ولقد علموا لمن اشتراه ما له في الآخرة من خلاق ولبئس ما شروا به أنفسهم لو كانوا يعلمون,البقرة
110,16,2,103,ولو أنهم آمنوا واتقوا لمثوبة من عند الله خير لو كانوا يعلمون,البقرة
111,16,2,104,ياأيها الذين آمنوا لا تقولوا راعنا وقولوا انظرنا واسمعوا وللكافرين عذاب أليم,البقرة
112,16,2,105,ما يود الذين كفروا من أهل الكتاب ولا المشركين أن ينزل عليكم من خير من ربكم والله يختص برحمته من يشاء والله ذو الفضل العظيم,البقرة
113,17,2,106,ما ننسخ من آية أو ننسها نأت بخير منها أو مثلها ألم تعلم أن الله على كل شيء قدير,البقرة
114,17,2,107,ألم تعلم أن الله له ملك السموات والأرض وما لكم من دون الله من ولي ولا نصير,البقرة
115,17,2,108,أم تريدون أن تسألوا رسولكم كما سئل موسى من قبل ومن يتبدل الكفر بالإيمان فقد ضل سواء السبيل,البقرة
116,17,2,109,ود كثير من أهل الكتاب لو يردونكم من بعد إيمانكم كفارا حسدا من عند أنفسهم من بعد ما تبين لهم الحق فاعفوا واصفحوا حتى يأتي الله بأمره إن الله على كل شيء قدير,البقرة
117,17,2,110,وأقيموا الصلاة وآتوا الزكاة وما تقدموا لأنفسكم من خير تجدوه عند الله إن الله بما تعملون بصير,البقرة
118,17,2,111,وقالوا لن يدخل الجنة إلا من كان هودا أو نصارى تلك أمانيهم قل هاتوا برهانكم إن كنتم صادقين,البقرة
119,17,2,112,بلى من أسلم وجهه لله وهو محسن فله أجره عند ربه ولا خوف عليهم ولا هم يحزنون,البقرة
120,18,2,113,وقالت اليهود ليست النصارى على شيء وقالت النصارى ليست اليهود على شيء وهم يتلون الكتاب كذلك قال الذين لا يعلمون مثل قولهم فالله يحكم بينهم يوم القيامة فيما كانوا فيه يختلفون,البقرة
121,18,2,114,ومن أظلم ممن منع مساجد الله أن يذكر فيها اسمه وسعى في خرابها أولئك ما كان لهم أن يدخلوها إلا خائفين لهم في الدنيا خزي ولهم في الآخرة عذاب عظيم,البقرة
122,18,2,115,ولله المشرق والمغرب فأينما تولوا فثم وجه الله إن الله واسع عليم,البقرة
123,18,2,116,وقالوا اتخذ الله ولدا سبحانه بل له ما في السموات والأرض كل له قانتون,البقرة
124,18,2,117,بديع السموات والأرض وإذا قضى أمرا فإنما يقول له كن فيكون,البقرة
125,18,2,118,وقال الذين لا يعلمون لولا يكلمنا الله أو تأتينا آية كذلك قال الذين من قبلهم مثل قولهم تشابهت قلوبهم قد بينا الآيات لقوم يوقنون,البقرة
126,18,2,119,إنا أرسلناك بالحق بشيرا ونذيرا ولا تسأل عن أصحاب الجحيم,البقرة
127,19,2,120,ولن ترضى عنك اليهود ولا النصارى حتى تتبع ملتهم قل إن هدى الله هو الهدى ولئن اتبعت أهواءهم بعد الذي جاءك من العلم ما لك من الله من ولي ولا نصير,البقرة
128,19,2,121,الذين آتيناهم الكتاب يتلونه حق تلاوته أولئك يؤمنون به ومن يكفر به فأولئك هم الخاسرون,البقرة
129,19,2,122,يابني إسرائيل اذكروا نعمتي التي أنعمت عليكم وأني فضلتكم على العالمين,البقرة
130,19,2,123,واتقوا يوما لا تجزي نفس عن نفس شيئا ولا يقبل منها عدل ولا تنفعها شفاعة ولا هم ينصرون,البقرة
131,19,2,124,وإذ ابتلى إبراهيم ربه بكلمات فأتمهن قال إني جاعلك للناس إماما قال ومن ذريتي قال لا ينال عهدي الظالمين,البقرة
132,19,2,125,وإذ جعلنا البيت مثابة للناس وأمنا واتخذوا من مقام إبراهيم مصلى وعهدنا إلى إبراهيم وإسماعيل أن طهرا بيتي للطائفين والعاكفين والركع السجود,البقرة
133,19,2,126,وإذ قال إبراهيم رب اجعل هذا بلدا آمنا وارزق أهله من الثمرات من آمن منهم بالله واليوم الآخر قال ومن كفر فأمتعه قليلا ثم أضطره إلى عذاب النار وبئس المصير,البقرة
134,20,2,127,وإذ يرفع إبراهيم القواعد من البيت وإسماعيل ربنا تقبل منا إنك أنت السميع العليم,البقرة
135,20,2,128,ربنا واجعلنا مسلمين لك ومن ذريتنا أمة مسلمة لك وأرنا مناسكنا وتب علينا إنك أنت التواب الرحيم,البقرة
136,20,2,129,ربنا وابعث فيهم رسولا منهم يتلو عليهم آياتك ويعلمهم الكتاب والحكمة ويزكيهم إنك أنت العزيز الحكيم,البقرة
137,20,2,130,ومن يرغب عن ملة إبراهيم إلا من سفه نفسه ولقد اصطفيناه في الدنيا وإنه في الآخرة لمن الصالحين,البقرة
138,20,2,131,إذ قال له ربه أسلم قال أسلمت لرب العالمين,البقرة
139,20,2,132,ووصى بها إبراهيم بنيه ويعقوب يابني إن الله اصطفى لكم الدين فلا تموتن إلا وأنتم مسلمون,البقرة
140,20,2,133,أم كنتم شهداء إذ حضر يعقوب الموت إذ قال لبنيه ما تعبدون من بعدي قالوا نعبد إلهك وإله آبائك إبراهيم وإسماعيل وإسحاق إلها واحدا ونحن له مسلمون,البقرة
141,20,2,134,تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسألون عما كانوا يعملون,البقرة
142,21,2,135,وقالوا كونوا هودا أو نصارى تهتدوا قل بل ملة إبراهيم حنيفا وما كان من المشركين,البقرة
143,21,2,136,قولوا آمنا بالله وما أنزل إلينا وما أنزل إلى إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط وما أوتي موسى وعيسى وما أوتي النبيون من ربهم لا نفرق بين أحد منهم ونحن له مسلمون,البقرة
144,21,2,137,فإن آمنوا بمثل ما آمنتم به فقد اهتدوا وإن تولوا فإنما هم في شقاق فسيكفيكهم الله وهو السميع العليم,البقرة
145,21,2,138,صبغة الله ومن أحسن من الله صبغة ونحن له عابدون,البقرة
146,21,2,139,قل أتحاجوننا في الله وهو ربنا وربكم ولنا أعمالنا ولكم أعمالكم ونحن له مخلصون,البقرة
147,21,2,140,أم تقولون إن إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط كانوا هودا أو نصارى قل أأنتم أعلم أم الله ومن أظلم ممن كتم شهادة عنده من الله وما الله بغافل عما تعملون,البقرة
148,21,2,141,تلك أمة قد خلت لها ما كسبت ولكم ما كسبتم ولا تسألون عما كانوا يعملون,البقرة
149,22,2,142,سيقول السفهاء من الناس ما ولاهم عن قبلتهم التي كانوا عليها قل لله المشرق والمغرب يهدي من يشاء إلى صراط مستقيم,البقرة
150,22,2,143,وكذلك جعلناكم أمة وسطا لتكونوا شهداء على الناس ويكون الرسول عليكم شهيدا وما جعلنا القبلة التي كنت عليها إلا لنعلم من يتبع الرسول ممن ينقلب على عقبيه وإن كانت لكبيرة إلا على الذين هدى الله وما كان الله ليضيع إيمانكم إن الله بالناس لرءوف رحيم,البقرة
151,22,2,144,قد نرى تقلب وجهك في السماء فلنولينك قبلة ترضاها فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره وإن الذين أوتوا الكتاب ليعلمون أنه الحق من ربهم وما الله بغافل عما يعملون,البقرة
152,22,2,145,ولئن أتيت الذين أوتوا الكتاب بكل آية ما تبعوا قبلتك وما أنت بتابع قبلتهم وما بعضهم بتابع قبلة بعض ولئن اتبعت أهواءهم من بعد ما جاءك من العلم إنك إذا لمن الظالمين,البقرة
153,23,2,146,الذين آتيناهم الكتاب يعرفونه كما يعرفون أبناءهم وإن فريقا منهم ليكتمون الحق وهم يعلمون,البقرة
154,23,2,147,الحق من ربك فلا تكونن من الممترين,البقرة
155,23,2,148,ولكل وجهة هو موليها فاستبقوا الخيرات أين ما تكونوا يأت بكم الله جميعا إن الله على كل شيء قدير,البقرة
156,23,2,149,ومن حيث خرجت فول وجهك شطر المسجد الحرام وإنه للحق من ربك وما الله بغافل عما تعملون,البقرة
157,23,2,150,ومن حيث خرجت فول وجهك شطر المسجد الحرام وحيث ما كنتم فولوا وجوهكم شطره لئلا يكون للناس عليكم حجة إلا الذين ظلموا منهم فلا تخشوهم واخشوني ولأتم نعمتي عليكم ولعلكم تهتدون,البقرة
158,23,2,151,كما أرسلنا فيكم رسولا منكم يتلو عليكم آياتنا ويزكيكم ويعلمكم الكتاب والحكمة ويعلمكم ما لم تكونوا تعلمون,البقرة
159,23,2,152,فاذكروني أذكركم واشكروا لي ولا تكفرون,البقرة
160,23,2,153,ياأيها الذين آمنوا استعينوا بالصبر والصلاة إن الله مع الصابرين,البقرة
161,24,2,154,ولا تقولوا لمن يقتل في سبيل الله أموات بل أحياء ولكن لا تشعرون,البقرة
162,24,2,155,ولنبلونكم بشيء من الخوف والجوع ونقص من الأموال والأنفس والثمرات وبشر الصابرين,البقرة
163,24,2,156,الذين إذا أصابتهم مصيبة قالوا إنا لله وإنا إليه راجعون,البقرة
164,24,2,157,أولئك عليهم صلوات من ربهم ورحمة وأولئك هم المهتدون,البقرة
165,24,2,158,إن الصفا والمروة من شعائر الله فمن حج البيت أو اعتمر فلا جناح عليه أن يطوف بهما ومن تطوع خيرا فإن الله شاكر عليم,البقرة
166,24,2,159,إن الذين يكتمون ما أنزلنا من البينات والهدى من بعد ما بيناه للناس في الكتاب أولئك يلعنهم الله ويلعنهم اللاعنون,البقرة
167,24,2,160,إلا الذين تابوا وأصلحوا وبينوا فأولئك أتوب عليهم وأنا التواب الرحيم,البقرة
168,24,2,161,إن الذين كفروا وماتوا وهم كفار أولئك عليهم لعنة الله والملائكة والناس أجمعين,البقرة
169,24,2,162,خالدين فيها لا يخفف عنهم العذاب ولا هم ينظرون,البقرة
170,24,2,163,وإلهكم إله واحد لا إله إلا هو الرحمن الرحيم,البقرة
171,25,2,164,إن في خلق السموات والأرض واختلاف الليل والنهار والفلك التي تجري في البحر بما ينفع الناس وما أنزل الله من السماء من ماء فأحيا به الأرض بعد موتها وبث فيها من كل دابة وتصريف الرياح والسحاب المسخر بين السماء والأرض لآيات لقوم يعقلون,البقرة
172,25,2,165,ومن الناس من يتخذ من دون الله أندادا يحبونهم كحب الله والذين آمنوا أشد حبا لله ولو يرى الذين ظلموا إذ يرون العذاب أن القوة لله جميعا وأن الله شديد العذاب,البقرة
173,25,2,166,إذ تبرأ الذين اتبعوا من الذين اتبعوا ورأوا العذاب وتقطعت بهم الأسباب,البقرة
174,25,2,167,وقال الذين اتبعوا لو أن لنا كرة فنتبرأ منهم كما تبرءوا منا كذلك يريهم الله أعمالهم حسرات عليهم وما هم بخارجين من النار,البقرة
175,25,2,168,ياأيها الناس كلوا مما في الأرض حلالا طيبا ولا تتبعوا خطوات الشيطان إنه لكم عدو مبين,البقرة
176,25,2,169,إنما يأمركم بالسوء والفحشاء وأن تقولوا على الله ما لا تعلمون,البقرة
177,26,2,170,وإذا قيل لهم اتبعوا ما أنزل الله قالوا بل نتبع ما ألفينا عليه آباءنا أو لو كان آباؤهم لا يعقلون شيئا ولا يهتدون,البقرة
178,26,2,171,ومثل الذين كفروا كمثل الذي ينعق بما لا يسمع إلا دعاء ونداء صم بكم عمي فهم لا يعقلون,البقرة
179,26,2,172,ياأيها الذين آمنوا كلوا من طيبات ما رزقناكم واشكروا لله إن كنتم إياه تعبدون,البقرة
180,26,2,173,إنما حرم عليكم الميتة والدم ولحم الخنزير وما أهل به لغير الله فمن اضطر غير باغ ولا عاد فلا إثم عليه إن الله غفور رحيم,البقرة
181,26,2,174,إن الذين يكتمون ما أنزل الله من الكتاب ويشترون به ثمنا قليلا أولئك ما يأكلون في بطونهم إلا النار ولا يكلمهم الله يوم القيامة ولا يزكيهم ولهم عذاب أليم,البقرة
182,26,2,175,أولئك الذين اشتروا الضلالة بالهدى والعذاب بالمغفرة فما أصبرهم على النار,البقرة
183,26,2,176,ذلك بأن الله نزل الكتاب بالحق وإن الذين اختلفوا في الكتاب لفي شقاق بعيد,البقرة
